retailer,product_id,url,product_name,brand,brand_type,color,current_price,regular_price,on_sale,discount_pct,rise,leg_shape,fit,inseam,fabric,pct_cotton,pct_natural_fiber,stretch,closure
Target,1001593177,https://www.target.com/p/alfred-dunner-petite-women-s-classic-pull-on-elastic-waist-denim-jeans/-/A-1001593180?preselect=1001593177#lnk=sametab,"Alfred Dunner Petite Women's Classic Pull-On Elastic Waist Denim Jeans - Denim, 10P",Alfred Dunner,National Brand,Denim,29.99,49.5,true,39.4,Mid,Straight,Straight Leg with a Easy Fit,28.25,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1007260331,https://www.target.com/p/women-s-plus-size-wide-leg-baggy-washed-stretch-with-pockets-denim-ankle-jeans-agnes-orinda-1x-dark-blue/-/A-1007260331,Women's Plus Size Wide Leg Baggy Washed Stretch with Pockets Denim Ankle Jeans - Agnes Orinda 2X Mid Blue,Agnes Orinda,National Brand,dark blue,47.99,63.99,true,25.0,High,Wide Leg,Wide Leg with a Loose Fit,,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,92887139,https://www.target.com/p/agnes-orinda-women-s-plus-size-wide-leg-baggy-washed-stretch-with-pockets-denim-ankle-jeans-gray-blue-1x/-/A-92887139,Women's Plus Size Wide Leg Baggy Washed Stretch with Pockets Denim Ankle Jeans - Agnes Orinda 2X Mid Blue,Agnes Orinda,National Brand,gray blue,42.99,57.39,true,25.1,High,Wide Leg,Wide Leg with a Loose Fit,,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,89978343,https://www.target.com/p/agnes-orinda-women-s-plus-size-wide-leg-baggy-washed-stretch-with-pockets-denim-ankle-jeans-mid-blue-1x/-/A-89978343,Women's Plus Size Wide Leg Baggy Washed Stretch with Pockets Denim Ankle Jeans - Agnes Orinda 2X Mid Blue,Agnes Orinda,National Brand,mid blue,42.99,57.39,true,25.1,High,Wide Leg,Wide Leg with a Loose Fit,,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,1008410321,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-jeans/-/A-1008410321#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,27.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410305,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-jeans/-/A-1008410305#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,27.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593144,https://www.target.com/p/alfred-dunner-petite-women-s-classic-pull-on-elastic-waist-short-length-denim-jeans/-/A-1001593137?preselect=1001593144#lnk=sametab,"Alfred Dunner Petite Women's Classic Pull-On Elastic Waist Short Length Denim Jeans - Denim, 18P",Alfred Dunner,National Brand,Denim,29.99,49.5,true,39.4,Mid,Straight,Straight Leg with a Easy Fit,26.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1008410451,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410451#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593594,https://www.target.com/p/alfred-dunner-petite-women-s-elastic-waist-denim-jeans/-/A-1001593515?preselect=1001593594#lnk=sametab,"Alfred Dunner Petite Women's Elastic Waist Denim Jeans , Medium Denim , 8P",Alfred Dunner,National Brand,Medium Denim,34.99,49.5,true,29.3,Mid,Straight,Straight Leg with a Easy Fit,28.25,"77% Cotton, 22% Polyester, 1% Spandex",77.0,77.0,,Full Waistband Elastic
Target,1008410452,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410452#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410369,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-jeans/-/A-1008410369#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,27.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410373,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-jeans/-/A-1008410373#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,27.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593527,https://www.target.com/p/alfred-dunner-petite-women-s-elastic-waist-short-length-denim-jeans/-/A-1001593518?preselect=1001593527#lnk=sametab,"Alfred Dunner Petite Women's Elastic Waist Short Length Denim Jeans , Medium Denim , 18P",Alfred Dunner,National Brand,Medium Denim,34.99,49.5,true,29.3,Mid,Straight,Straight Leg with a Easy Fit,26.75,"77% Cotton, 22% Polyester, 1% Spandex",77.0,77.0,,Full Waistband Elastic
Target,1008410282,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-jeans/-/A-1008410282#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,27.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410462,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410462#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410461,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410461#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593148,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-black-12p/-/A-1001593148#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Black, 12P",Alfred Dunner,National Brand,Black,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1008410464,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410464#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1008410463,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410463#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593155,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-black-6p/-/A-1001593155#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Black, 6P",Alfred Dunner,National Brand,Black,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1008410466,https://www.target.com/p/alfred-dunner-petite-women-s-geometric-heat-set-super-stretch-denim-short-length-jeans/-/A-1008410466#lnk=sametab,Alfred Dunner Petite Women's Geometric Heat Set Super Stretch Denim Short Length Jeans,Alfred Dunner,National Brand,,64.5,64.5,true,,regular,Slim,Slim Leg with a Tailored Fit,25.0,"69% Cotton, 28% Polyester",69.0,69.0,,Pull-On
Target,1001593156,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-black-8p/-/A-1001593156#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Black, 8P",Alfred Dunner,National Brand,Black,24.99,44.5,true,43.8,,Relaxed,,,,,,,
Target,1001593162,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-denim-12p/-/A-1001593162#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Denim, 12P",Alfred Dunner,National Brand,Denim,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1001593159,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-denim-10p/-/A-1001593159#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Denim, 10P",Alfred Dunner,National Brand,Denim,24.99,44.5,true,43.8,,Relaxed,,,,,,,
Target,1001593167,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-denim-16p/-/A-1001593167#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Denim, 16P",Alfred Dunner,National Brand,Denim,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1001593168,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-denim-18p/-/A-1001593168#lnk=sametab,"Alfred Dunner, Petite Women's Relaxed Fit Pull-On Denim Capri, Denim, 18P",Alfred Dunner,National Brand,Denim,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1001593175,https://www.target.com/p/alfred-dunner-petite-women-s-relaxed-fit-pull-on-denim-capri-denim-8p/-/A-1001593175#lnk=sametab,"Alfred Dunner Petite Women's Relaxed Fit Pull-On Denim Capri - Denim, 8P",Alfred Dunner,National Brand,Denim,24.99,44.5,true,43.8,Mid,Straight,Straight Leg with a Easy Fit,17.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1002498299,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-jeans/-/A-1002498299,"Alfred Dunner Petite Women's Super Stretch Comfort Jeans , Black , 14P",Alfred Dunner,National Brand,black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,27.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498447,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-jeans/-/A-1002498447,"Alfred Dunner Petite Women's Super Stretch Comfort Jeans , Black , 14P",Alfred Dunner,National Brand,dark denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,27.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498439,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-jeans/-/A-1002498439,"Alfred Dunner Petite Women's Super Stretch Comfort Jeans , Black , 14P",Alfred Dunner,National Brand,medium denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,27.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498347,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498347#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 8P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498356,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498356#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 18P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498361,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498361#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 14P",Alfred Dunner,National Brand,Dark Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498348,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498348#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 6P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498385,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498385#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 14P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498362,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498362#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 10P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498400,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498400#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Black , 6P",Alfred Dunner,National Brand,Black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498416,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498416#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Black , 10P",Alfred Dunner,National Brand,Black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498404,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498404#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Black , 18P",Alfred Dunner,National Brand,Black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498434,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498434#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 12P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498374,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498374#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Black , 12P",Alfred Dunner,National Brand,Black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498445,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498445#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 12P",Alfred Dunner,National Brand,Dark Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498426,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498426#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 18P",Alfred Dunner,National Brand,Dark Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498449,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498449#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 16P",Alfred Dunner,National Brand,Medium Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498444,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498444#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 10P",Alfred Dunner,National Brand,Dark Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498463,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498463#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 6P",Alfred Dunner,National Brand,Dark Denim,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498470,https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498470#lnk=sametab,"Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Black , 16P",Alfred Dunner,National Brand,Black,29.99,54.0,true,44.5,Mid,Slim,Tapered Leg with a Slim Fit,26.75,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1004270843,https://www.target.com/p/alfred-dunner-plus-women-s-classic-pull-on-elastic-waist-black-denim-jeans/-/A-1004270841?preselect=1004270843#lnk=sametab,"Alfred Dunner Plus Women's Classic Pull-On Elastic Waist Black Denim Jeans , Black , 22W",Alfred Dunner,National Brand,Black,29.99,52.5,true,42.9,Mid,Straight,Straight Leg with a Easy Fit,30.5,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1002498427,https://www.target.com/p/alfred-dunner-plus-women-s-super-stretch-comfort-jeans/-/A-1002498427,"Alfred Dunner Plus Women's Super Stretch Comfort Jeans , Medium Denim , 20W",Alfred Dunner,National Brand,black,29.99,58.0,true,48.3,Mid,Slim,Tapered Leg with a Slim Fit,29.25,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498408,https://www.target.com/p/alfred-dunner-plus-women-s-super-stretch-comfort-jeans/-/A-1002498408,"Alfred Dunner Plus Women's Super Stretch Comfort Jeans , Medium Denim , 20W",Alfred Dunner,National Brand,dark denim,29.99,58.0,true,48.3,Mid,Slim,Tapered Leg with a Slim Fit,29.25,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1002498421,https://www.target.com/p/alfred-dunner-plus-women-s-super-stretch-comfort-jeans/-/A-1002498421,"Alfred Dunner Plus Women's Super Stretch Comfort Jeans , Medium Denim , 20W",Alfred Dunner,National Brand,medium denim,29.99,58.0,true,48.3,Mid,Slim,Tapered Leg with a Slim Fit,29.25,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
Target,1001593213,https://www.target.com/p/alfred-dunner-plus-women-s-classic-pull-on-elastic-waist-denim-jeans/-/A-1001593209?preselect=1001593213#lnk=sametab,"Alfred Dunner Plus Women's Classic Pull-On Elastic Waist Denim Jeans , Denim , 22W",Alfred Dunner,National Brand,Denim,29.99,44.0,true,31.8,Mid,Straight,Straight Leg with a Easy Fit,29.75,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1004270803,https://www.target.com/p/alfred-dunner-plus-women-s-classic-pull-on-elastic-waist-short-length-black-denim-jeans/-/A-1004270797?preselect=1004270803#lnk=sametab,"Alfred Dunner Plus Women's Classic Pull-On Elastic Waist Short Length Black Denim Jeans , Black , 22W",Alfred Dunner,National Brand,Black,29.99,52.5,true,42.9,Mid,Straight,Straight Leg with a Easy Fit,28.0,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1002498450,https://www.target.com/p/alfred-dunner-plus-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498450#lnk=sametab,"Alfred Dunner Plus Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 16W",Alfred Dunner,National Brand,Medium Denim,29.99,58.0,true,48.3,Mid,Slim,Tapered Leg with a Slim Fit,28.25,"78% Cotton, 20% Polyester, 2% Spandex",78.0,78.0,,Pull-On
